Sexo;Edad;Nivel de estudios;Consumo de bebidas alchólicas
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
Hombres;De 15 a 24 años;Básico e inferior;Sí­ ha consumido
